id,version,titulo,descricao,tipo,modulos,criadoPor,dataPublicacao,createdAt
1,1,Estrutura Inicial do ERP,"Criação da estrutura base do sistema ERP RH & DP com autenticação OAuth, banco de dados, e layout do dashboard com sidebar.",feature,"Sistema, Autenticação, Layout",Sistema,2026-02-10 13:00:00,2026-02-23 22:45:06
2,10,Módulo de Empresas e Colaboradores,"Implementação completa do CRUD de empresas (multi-tenant) e colaboradores com dados pessoais, documentos, endereço e dependentes.",feature,"Empresas, Colaboradores",Sistema,2026-02-12 17:00:00,2026-02-23 22:45:06
3,20,Módulo de Obras e Relógios de Ponto,"Cadastro de obras com vinculação de SNs (relógios de ponto), alocação de funcionários por obra, e controle de status.",feature,"Obras, Relógios de Ponto",Sistema,2026-02-14 13:00:00,2026-02-23 22:45:06
4,30,Fechamento de Ponto e Upload DIXI,"Módulo completo de fechamento de ponto com upload de arquivos DIXI, processamento automático, detecção de conflitos, e consolidação mensal.",feature,"Fechamento de Ponto, Upload DIXI",Sistema,2026-02-16 13:00:00,2026-02-23 22:45:06
5,40,Folha de Pagamento e Vale Alimentação,"Módulo de folha de pagamento com upload de planilhas, cálculos automáticos, e módulo de vale alimentação com controle de créditos.",feature,"Folha de Pagamento, Vale Alimentação",Sistema,2026-02-17 13:00:00,2026-02-23 22:45:06
6,50,Dashboards e Relatórios,"Implementação de dashboards interativos para Funcionários, Cartão de Ponto, Folha de Pagamento, Horas Extras, EPIs e Jurídico. Relatório Raio-X do Funcionário.",feature,"Dashboards, Relatórios",Sistema,2026-02-19 13:00:00,2026-02-23 22:45:06
7,55,Módulos de Gestão de Pessoas,"Implementação de Aviso Prévio, Férias, CIPA, Contratos PJ, Processos Trabalhistas e Controle de EPIs.",feature,"Aviso Prévio, Férias, CIPA, Contratos PJ, Processos Trabalhistas, EPIs",Sistema,2026-02-20 13:00:00,2026-02-23 22:45:06
8,60,Configurações e Painel de Controle,"Módulo de configurações com Painel de Controle (drag and drop), Regras de Ouro, Critérios do Sistema, Minha Senha, Notificações por E-mail, Contrato PJ e Limpeza de Dados.",feature,"Configurações, Painel de Controle",Sistema,2026-02-21 13:00:00,2026-02-23 22:45:06
9,61,Auditoria e Lixeira,Sistema de auditoria com log de todas as ações do sistema. Lixeira com soft delete e restauração de registros excluídos.,feature,"Auditoria, Lixeira",Sistema,2026-02-21 19:00:00,2026-02-23 22:45:06
10,62,"Setores, Funções e Contas Bancárias","Módulos de cadastro de Setores, Funções e Contas Bancárias com CRUD completo e vinculação por empresa.",feature,"Setores, Funções, Contas Bancárias",Sistema,2026-02-22 13:00:00,2026-02-23 22:45:06
11,63,Correções de Permissões e Perfis de Usuário,"Correção do sistema de permissões (Admin Master, Admin, Usuário). Unificação da página de Usuários e Permissões. Filtro de menu por role no sidebar.",bugfix,"Usuários e Permissões, Configurações, Sidebar",Sistema,2026-02-23 13:00:00,2026-02-23 22:45:06
12,64,Correção Desconsolidação + Relógios na Obra + Controle de Revisões,Correção definitiva do bug de desconsolidação (Admin Master bloqueado). Adição de multi-select de relógios no formulário de Nova Obra. Criação do módulo Controle de Revisões visível apenas para Admin Master. Correção de permissões em adminProcedure para aceitar admin e admin_master.,bugfix,"Fechamento de Ponto, Obras, Revisões do Sistema, Permissões",Sistema,2026-02-23 22:30:00,2026-02-23 22:45:06
13,65,Correção definitiva desconsolidação + Layout responsivo Revisões,"Correções e melhorias:
- Correção DEFINITIVA do bug de desconsolidação: verificação de role agora usa .includes('admin') para aceitar qualquer variação (admin, admin_master)
- Fallback de segurança: owner do projeto sempre pode desconsolidar
- Layout responsivo na página Controle de Revisões: cards de estatísticas em grid 3x2 mobile / 6 colunas desktop
- Header da página de Revisões responsivo com empilhamento vertical em telas pequenas
- Log detalhado no backend para debug de permissões
- Atualização do número da revisão para Rev. 65",bugfix,"Fechamento de Ponto, Revisões do Sistema",Sistema,2026-02-24 01:30:00,2026-02-23 23:08:10
14,66,Navegação de ponto no Fechamento — clique no nome abre detalhe de ponto,"Melhorias na navegação do módulo Fechamento de Ponto:
- Clique no nome do colaborador agora abre a visão detalhada de ponto do mês (em vez de redirecionar para o Raio-X)
- Novo card totalizador no topo da visão de detalhe: Dias Trabalhados, Horas Totais, Horas Extras, Atrasos, Obras, Inconsistências e Conflitos
- Exibição da competência, jornada e badge de múltiplas obras no card totalizador
- Painel de inconsistências pendentes do funcionário exibido diretamente na visão de detalhe com botão Resolver
- Botão ""Raio-X Completo"" disponível no header da visão de detalhe como opção secundária
- Ícone de Raio-X na coluna de ações das tabelas (substituindo o ícone de olho)
- Comportamento consistente em todas as abas: Resumo por Colaborador, Inconsistências, Conflitos e Rateio por Obra",melhoria,Fechamento de Ponto,Sistema,2026-02-24 02:25:00,2026-02-23 23:23:40
15,67,Correção do fluxo de Advertência nas Inconsistências de Ponto,"Correção crítica no fluxo de advertência do módulo Fechamento de Ponto:
- Botão de Advertência nas inconsistências agora navega para o Controle de Documentos (aba Advertências) com formulário completo pré-preenchido
- O formulário abre com colaborador, data e motivo pré-preenchidos, mas o usuário DEVE escolher o tipo (Verbal, Escrita, Suspensão, etc.)
- A inconsistência NÃO é mais resolvida automaticamente ao gerar advertência — permanece pendente até ser tratada separadamente
- O dialog de ""Resolver Inconsistência"" agora só oferece ""Justificar"" e ""Marcar como Ajustado"" (advertência é ação separada)
- Fluxo completo: usuário define tipo, preenche testemunhas, revisa motivo e confirma no formulário padrão do Controle de Documentos
- Integração via sessionStorage para transferência segura de dados entre módulos",bugfix,"Fechamento de Ponto, Controle de Documentos",Sistema,2026-02-24 02:45:00,2026-02-23 23:43:34
16,68,Detecção Inteligente de Transferência de Obra nos Conflitos,"Melhoria significativa na análise de conflitos de obra no Fechamento de Ponto:
- O sistema agora distingue entre SOBREPOSIÇÃO REAL (mesmo horário, impossível) e TRANSFERÊNCIA DE OBRA (horários diferentes, provável remanejamento)
- Quando detecta transferência: exibe análise visual com obra de origem → obra de destino, gap de tempo entre batidas, e sugestão de horário de saída na obra anterior
- Badge ""Transferência"" (azul) diferencia visualmente das sobreposições (vermelho) e deslocamentos válidos (verde)
- Sugestão automática: ""Registre uma saída às HH:MM na obra X para fechar as horas corretamente""
- Alerta principal atualizado com contagem separada de sobreposições, transferências e deslocamentos válidos
- Lógica aplicada tanto na aba de Conflitos quanto na visão de Detalhe do Colaborador
- Backend enriquecido com campo transferAnalysis contendo fromObra, toObra, gapMinutes e suggestedExit",melhoria,Fechamento de Ponto,Sistema,2026-02-24 03:00:00,2026-02-24 00:00:09
17,69,Funcionários Não Identificados como Inconsistência Tratável,"Melhoria crítica na importação de arquivos DIXI:
- Funcionários não encontrados no cadastro agora são SALVOS como registros pendentes (antes eram descartados)
- Nova aba ""Não Identificados"" no Fechamento de Ponto mostra todos os nomes não reconhecidos
- Interface de vinculação: busca colaboradores do cadastro e vincula ao nome do relógio
- Ao vincular, o sistema reprocessa automaticamente os registros (calcula horas, extras, atrasos, inconsistências)
- Opção de descartar registros inválidos com registro de quem descartou
- Agrupamento por nome com contagem de registros e datas
- Badge com contagem de pendentes na aba
- Toast de importação reposicionado para o canto inferior esquerdo (não sobrepõe o botão de importar)
- Nova tabela unmatched_dixi_records para persistir os dados até resolução",melhoria,Fechamento de Ponto,Sistema,2026-02-24 03:00:00,2026-02-24 00:31:01
18,70,Salário/Hora Bidirecional + Código Interno em Destaque,"Melhorias no cadastro de colaboradores para funcionários horistas:
- Campo ""Valor da Hora"" agora é editável e bidirecional: digitar o valor da hora calcula o salário automaticamente, e vice-versa
- Valor da Hora destacado como ""Dado Mestre"" com borda azul e estrela — é a base real para cálculo da folha de pagamento
- Salário Base marcado como ""Referência mensal (varia conforme dias úteis)"" para deixar claro que é variável
- Ao alterar Horas Mensais, o salário é recalculado a partir do valor da hora (não o contrário)
- Código Interno (ex: JFC161) exibido em destaque grande no lado direito do header do colaborador
- Estrutura preparada para horistas: valor da hora fixo, salário varia conforme dias úteis do mês",melhoria,Colaboradores,Sistema,2026-02-24 03:00:00,2026-02-24 00:44:30
19,71,"Memória DIXI, Simulador Horistas, Tipo Horista","Memória de vinculação DIXI: ao vincular um nome não identificado, o sistema memoriza e faz auto-match nos próximos uploads. Aba Memória DIXI com CRUD completo. Simulador de Folha para Horistas: calcula custo mensal com base em dias úteis e valor/hora. Novo tipo de contrato Horista com destaque visual do campo Valor da Hora.",feature,"Fechamento de Ponto, Colaboradores",Sistema,2026-02-24 01:12:33,2026-02-24 01:12:33
20,72,Jornada 44h Semanais e Cálculo de HE Robusto,"Botão Aplicar 44h/semana no cadastro de colaboradores (Seg-Qui 07-17h, Sex 07-16h, Sáb 07-11h). Cálculo de horas semanais em tempo real no grid. Coluna Horas/dia por dia da semana. Sábado e Domingo sem jornada = toda hora trabalhada é HE automática. Separação correta HE 50% (sábado/dia útil) e HE 100% (domingo/feriado). Correção do parsing de intervalo no cálculo de expectedMinutes.",feature,"Colaboradores, Fechamento de Ponto, Folha de Pagamento",Sistema,2026-02-24 01:26:23,2026-02-24 01:26:23
21,73,Contrato de Experiência CLT,"Sistema completo de acompanhamento de contratos de experiência com alertas automáticos, ações na tela inicial (prorrogar/efetivar/desligar), cálculo automático de datas de vencimento e registro no histórico do colaborador",feature,"[""colaboradores"",""home""]",Sistema,2026-02-24 01:43:01,2026-02-24 01:43:01
30001,74,"Rev. 74 — Mega Atualização: EPI Custos, Rankings, Contratos, Perfis","Atualização completa com 9 funcionalidades:

1. Bug Fix — Exclusão de Advertências: corrigido filtro deletedAt em todas as queries de listagem
2. EPI — Campos de Custo e Vida Útil: valor do produto, tempo mínimo de troca, BDI configurável, lógica de cobrança
3. EPI — Ficha Padronizada para Impressão: ficha formal com logo, citações legais NR-6
4. Rankings de Pontualidade: Top 5 mais pontuais, atrasados, horas extras e menos dias
5. Preset 44h com Sábado: Seg-Sex 8h + Sáb 4h
6. Dashboard de Horas Extras: cards consolidados com totais
7. Desligamento Experiência Melhorado: categorias CLT Art. 479/480, cálculo indenização
8. Contrato de Experiência: documento CLT formal com 8 cláusulas
9. Reestruturação Perfis de Acesso: 3 abas separadas",feature,"EPIs, Controle de Documentos, Fechamento de Ponto, Folha de Pagamento, Colaboradores, Usuários e Permissões",Sistema,2026-02-24 03:06:10,2026-02-24 03:06:10
60001,75,Descontos EPI: Botões Confirmar/Cancelar + Banner de Custo,"Implementação completa do fluxo de aprovação de descontos EPI no Raio-X do funcionário.

1. Botões ""Confirmar Desconto"" e ""Cancelar Desconto"" (com justificativa obrigatória) na aba Descontos EPI
2. Tabela de descontos exibindo: EPI, Motivo, Qtd, Valor Unit., Valor Total, Mês Ref., Status e Ações
3. Resumo de descontos (Pendentes, Confirmados, Cancelados) com valores corretos
4. Banner verde ""Troca sem custo"" no formulário de entrega de EPI (desgaste normal)
5. Banner vermelho ""ATENÇÃO: Item gerará desconto em folha"" com valor + BDI (mau uso/perda/furto)
6. Correção dos valores R$0,00 — campos mapeados corretamente do Drizzle schema",feature,"EPIs,Raio-X,Descontos",Sistema,2026-02-24 10:00:00,2026-02-24 10:00:00
60002,76,Correção: Cadastro de EPI com nome longo (CA),"Correção do erro ao cadastrar EPIs com nomes muito longos vindos da consulta CAEPI.

Coluna ""nome"" na tabela epis aumentada de 255 para 1000 caracteres.
Coluna ""epi_nome"" na tabela epi_discount_alerts aumentada de 500 para 1000 caracteres.
Permite cadastrar EPIs como o CA 40906 (óculos de segurança com descrição completa).",bugfix,EPIs,Sistema,2026-02-24 11:00:00,2026-02-24 11:00:00
60003,77,Ordenação Alfabética de Colaboradores,"Lista de colaboradores agora exibida em ordem alfabética (A-Z) por padrão.

1. Backend com ORDER BY asc(nomeCompleto)
2. Frontend com localeCompare pt-BR como fallback
3. Correção de dados sujos: nome do MATHEUS tinha caractere TAB invisível no início
4. Sanitização automática no createEmployee e updateEmployee (remove TAB, \r, \n e espaços extras)",melhoria,Colaboradores,Sistema,2026-02-24 12:00:00,2026-02-24 12:00:00
60004,78,Correção: Percentuais de HE não persistiam,"Correção crítica: os percentuais de Horas Extras (Dias Úteis, Domingos/Feriados, Adicional Noturno) voltavam ao valor padrão após salvar.

Causa: frontend usava nomes errados (hePercentual50/100/Noturno). Corrigido para nomes do banco (heNormal50, he100, heNoturna) em Colaboradores.tsx e db.ts.",bugfix,"Colaboradores,Horas Extras",Sistema,2026-02-24 13:00:00,2026-02-24 13:00:00
60005,79,Auditoria Completa de Campos + Persistência,"Auditoria completa de todos os 89 campos do cadastro de funcionários.

1. 23 campos faltantes adicionados ao validFields (experiência, desligamento, HE feriado/interjornada, lista negra, etc.)
2. 5 campos do frontend que eram silenciosamente descartados: categoriaDesligamento, codigoInterno, dataDesligamentoEfetiva, motivoDesligamento, parentescoEmergencia
3. complementoObs renomeado para descricaoComplemento (nome correto no banco)
4. booleanFields corrigido: recebeComplemento e acordoHoraExtra são tinyint (boolean)
5. Sanitização automática de nomeCompleto no create e update",bugfix,"Colaboradores,Cadastro",Sistema,2026-02-24 14:00:00,2026-02-24 14:00:00
60006,80,HE Manual + Combobox Jornada + Critérios Globais + Central Fullscreen,"Atualização completa com 4 melhorias:

1. Campos de HE com digitação livre — sem mais spinner numérico nem limite de 100%, aceita 60%, 70%, 80% ou qualquer valor
2. Campos de horário da Jornada de Trabalho convertidos para combobox — opções pré-definidas + digitação manual livre (ex: 1h15 de intervalo)
3. Critérios globais de HE da empresa refletem no cadastro — campos mostram ""Empresa: 60% (CLT: 50%)"" e usam valores da empresa como padrão
4. Central de Alertas agora abre em tela cheia (fullscreen)
5. Página de Controle de Revisões agora é somente leitura (sem botão Nova Revisão)",feature,"Colaboradores,Horas Extras,Configurações,Central de Alertas,Revisões",Sistema,2026-02-24 19:00:00,2026-02-24 19:00:00
90001,81,Gap Analysis Completo - Reunião Gerencial RH,"Implementação de todos os 20 módulos faltantes do Gap Analysis:

• Template Aviso Prévio (gerar PDF)
• Alerta 80 dias fim de obra no Painel Principal
• Campos VT, Pensão Alimentícia, Licença Maternidade no cadastro
• Campos rateáveis por obra (seguro vida, sindicato, dissídio, CCT, DDS)
• Comparativo Descontos na Folha (sistema vs contabilidade)
• Cruzamento HE sistema x folha com auditoria
• Tabela de Feriados (CRUD + seed nacionais)
• Critério diferenças salariais (dissídio, reajuste retroativo)
• PJ Medições mensais (horas x valor hora)
• Upload documentos pessoais (S3)
• Regra vale dia 10 (critério configurável)
• Recontratação CPF com carência de 90 dias
• Campo Justiça Federal nos Processos Trabalhistas
• Sugestão automática de advertências por ponto",feature,"Aviso Prévio, Home, Cadastro, Folha, Feriados, PJ, Documentos, Ponto",Sistema,2026-02-25 11:17:07,2026-02-25 11:17:07
90002,82,Gap Analysis Completo + Fornecedor CNPJ + Dissídio,"Implementação completa do Gap Analysis (20 módulos): Template Aviso Prévio PDF, Alerta 80 dias obras, Campos VT/Pensão/Licença/Seguro/Sindicato/Dissídio, Tabela Feriados, PJ Medições, Upload Documentos S3, Comparativo Descontos Folha, Cruzamento HE, Regra vale dia 10, Recontratação CPF, JF Processos, Sugestão advertências. Módulo Dissídio por ano com critérios CLT/MTE. Campo Fornecedor com busca CNPJ via BrasilAPI no EPI.",feature,"[""EPIs"",""Dissídio"",""Folha"",""Feriados"",""PJ"",""Documentos"",""Aviso Prévio"",""Cadastro""]",Manus AI,2026-02-25 11:57:14,2026-02-25 11:57:14
90003,83,Fase 36: Frontend Completo + Dissídio por Ano,"Frontend completo: Feriados, PJ Medições, Upload Documentos, Aba Benefícios (pensão, licença maternidade, seguro vida, sindicato, dissídio, CCT, DDS, VT), Aba Descontos CLT na Folha, Aba Cruzamento HE, Módulo Dissídio separado por ano com critérios CLT/MTE",feature,"[""Dissídio"",""Feriados"",""PJ Medições"",""Documentos"",""Cadastro"",""Folha""]",Sistema,2026-02-25 11:57:20,2026-02-25 11:57:20
120001,84,Padronizar cores dos gráficos em todos os dashboards,"Padronização de cores: azul (#2563EB) para admissões/ativos, vermelho (#DC2626) para demissões/desligados. Paleta vibrante com 12 cores para demais gráficos. Criação do módulo chartColors.ts centralizado.",melhoria,"[""Dashboards"",""Gráficos""]",Sistema,2026-02-26 23:37:08,2026-02-26 23:37:08
120002,85,Corrigir campo de busca de colaboradores em todas as telas,"Correção do filtro de busca de colaboradores que não funcionava corretamente em diversas telas do sistema (SST, Ativos, Ponto e Folha).",bugfix,"[""Cadastro"",""SST"",""Ativos"",""Ponto e Folha""]",Sistema,2026-02-26 23:37:08,2026-02-26 23:37:08
120003,86,Reavaliação do cadastro de funcionários,"Revisão completa do formulário de cadastro de colaboradores com validação de campos obrigatórios, melhorias no layout e organização das abas.",melhoria,"[""Cadastro""]",Sistema,2026-02-26 23:37:08,2026-02-26 23:37:08
120004,87,Adicionar idade atual na ficha Raio X do funcionário,"Cálculo e exibição da idade atual do funcionário na ficha Raio-X, calculada automaticamente a partir da data de nascimento.",feature,"[""Raio-X""]",Sistema,2026-02-26 23:37:09,2026-02-26 23:37:09
120005,88,Corrigir dropdown e melhorar layout do Novo Aviso Prévio,Correção do dropdown de seleção de funcionários no formulário de Aviso Prévio. Melhoria no layout com campos organizados em grid responsivo.,bugfix,"[""Aviso Prévio""]",Sistema,2026-02-26 23:37:09,2026-02-26 23:37:09
120006,89,Corrigir filtro de busca + Limpeza deletedAt,Correção do filtro de busca de colaboradores no Aviso Prévio. Limpeza de registros com deletedAt preenchido incorretamente em todos os funcionários.,bugfix,"[""Aviso Prévio"",""Cadastro""]",Sistema,2026-02-26 23:37:09,2026-02-26 23:37:09
120007,90,Corrigir Cálculo de Previsão de Rescisão no Aviso Prévio,"Correção completa do cálculo de previsão de rescisão: saldo de salário, férias proporcionais + 1/3, 13º proporcional, aviso prévio indenizado, multa FGTS 40%.",bugfix,"[""Aviso Prévio"",""Rescisão""]",Sistema,2026-02-26 23:37:09,2026-02-26 23:37:09
120008,91,Apontamentos de Campo + Solicitação de Aviso Prévio,Novo módulo de Apontamentos de Campo para registro diário de atividades em obra. Fluxo de solicitação de aviso prévio com aprovação do gestor.,feature,"[""Apontamentos"",""Aviso Prévio""]",Sistema,2026-02-26 23:37:09,2026-02-26 23:37:09
120009,92,Corrigir cálculos de rescisão completamente,"Reescrita completa dos cálculos de rescisão seguindo CLT: saldo salário proporcional, férias vencidas + proporcionais + 1/3, 13º proporcional, aviso prévio (Lei 12.506/2011), multa FGTS 40%.",bugfix,"[""Aviso Prévio"",""Rescisão""]",Sistema,2026-02-26 23:37:09,2026-02-26 23:37:09
120010,93,Estrutura de Benefícios de Alimentação por Obra,"Configuração de benefícios de alimentação (café, lanche, VA/iFood, janta) por obra com valores personalizáveis. Integração com cálculo de rescisão para proporcionalidade.",feature,"[""Configurações"",""Benefícios"",""Rescisão""]",Sistema,2026-02-26 23:37:09,2026-02-26 23:37:09
